City,cityID,Latitude,Temp Max (F),Wind Speed,Humidity,Cloudiness
bredasdorp,1015776,-34.53,69.8,3.36,94,88
cidreira,3466165,-30.17,69.1,12.46,96,8
qaanaaq,3831208,77.48,-29.64,7.43,91,0
busselton,2075265,-33.64,93.0,6.64,21,0
butaritari,2110227,3.07,83.23,16.26,100,92
hithadhoo,1282256,-0.6,84.4,4.74,100,88
husavik,5961417,50.56,28.0,3.06,91,48
hobart,2163355,-42.88,73.0,10.29,64,75
cape town,3369157,-33.93,66.0,4.7,93,0
talnakh,1490256,69.49,7.09,7.65,91,68
lavrentiya,4031637,65.58,6.46,4.85,100,12
neyshabur,122285,36.21,34.45,17.6,93,92
new norfolk,2155415,-42.78,73.0,10.29,64,75
vaini,1273574,15.34,78.8,3.36,24,0
avarua,4035715,-21.21,82.4,3.36,83,12
karangasem,1646170,-6.7,83.41,1.95,100,44
bambanglipuro,1650434,-7.95,80.8,7.54,93,64
mahebourg,934322,-20.41,81.0,9.17,83,75
georgetown,3378644,6.8,73.4,4.7,88,0
mar del plata,3863379,-46.43,55.33,11.79,57,36
atuona,4020109,-9.8,83.14,14.7,98,56
kodiak,4407665,39.95,41.0,4.7,12,1
punta arenas,3874787,-53.16,41.0,9.17,75,75
saskylakh,2017155,71.97,-14.79,4.18,66,36
rikitea,4030556,-23.12,78.37,19.51,100,44
saldanha,2737599,41.42,30.13,4.63,91,0
mount isa,2065594,-20.73,98.6,6.93,19,0
swan river,6160362,52.11,25.0,3.74,78,0
fairbanks,5861897,64.84,45.0,8.05,60,90
klyuchi,1503153,52.25,13.12,5.08,77,32
caravelas,3466980,-17.73,83.68,17.27,99,0
saint-pierre,2995603,48.95,30.2,2.73,92,0
padang,1633419,-0.92,86.0,4.7,74,20
egvekinot,4031742,66.32,-8.13,4.18,59,32
merritt island,4164092,28.54,66.0,10.29,72,90
batticaloa,1250161,7.71,83.32,5.86,92,32
awjilah,88533,29.14,55.51,5.75,53,0
prince rupert,6113406,54.32,55.4,2.73,58,1
meulaboh,1214488,4.14,81.7,0.72,100,44
atar,2381334,20.52,61.18,7.43,28,24
fortuna,2517679,38.18,50.0,5.82,71,0
codrington,2160063,-28.95,91.99,3.36,40,0
mutare,884979,-18.97,64.51,2.28,98,92
port-gentil,2396518,-0.72,78.82,6.87,100,76
bluff,2175403,-23.58,87.73,4.41,66,8
tortosa,3107677,40.81,51.01,8.05,53,0
caruray,1718234,10.31,89.6,11.41,59,20
nizwa,286987,22.93,47.41,3.06,73,0
yumen,1528998,40.29,41.02,5.75,56,44
karacakoy,744514,41.4,52.0,4.7,93,0
gotsu,1863521,35.01,55.4,3.36,71,75
rantepao,1629974,-2.97,82.15,1.72,63,0
gediz,314716,38.99,28.0,3.0,93,0
wakuya,2110596,38.56,51.8,10.29,62,75
leningradskiy,2123814,69.38,-0.39,36.73,96,64
turukhansk,1488903,65.8,2.14,7.43,77,76
bombo,225858,0.58,59.56,2.73,77,0
castro,3896218,-42.48,42.8,5.82,87,64
thinadhoo,1337610,0.53,83.41,4.29,100,64
macau,3395998,-5.11,74.23,2.84,92,12
broken hill,2173911,-31.97,91.4,9.17,17,44
nuuk,3421319,64.17,3.2,18.34,84,44
chuy,3443061,-33.69,67.48,11.01,94,0
aklavik,5882953,68.22,32.0,6.93,89,75
lorengau,2092164,-2.02,80.8,8.77,100,68
mataura,6201424,-46.19,66.99,5.01,76,0
leh,1264976,34.16,1.24,0.83,77,48
bonnyville,5905616,54.27,41.0,6.93,56,75
vestmannaeyjar,3412093,63.44,41.29,20.96,94,80
poum,787487,41.28,30.94,2.51,88,20
victoria,1733782,5.28,87.8,3.36,79,75
puerto carreno,3671519,6.19,75.49,1.61,80,48
narsaq,3421719,60.91,24.8,16.11,85,0
tasiilaq,3424607,65.61,26.6,10.29,86,32
pathein,1328421,16.78,87.55,4.74,63,0
mawlaik,1310120,23.63,73.15,2.95,80,0
bahile,1696177,10.0,89.6,11.41,59,20
clinton,4852022,41.84,35.6,4.7,80,1
paramonga,3933024,-10.68,70.9,10.11,100,44
ushuaia,3833367,-54.81,41.0,25.28,100,40
northam,2641434,51.04,46.99,4.7,100,80
appleton,5244080,44.26,33.8,4.7,58,40
adrar,2508813,27.87,59.0,8.05,18,0
fort nelson,5955902,58.81,42.8,3.36,60,75
port alfred,964432,-33.59,71.01,3.0,96,44
berdigestyakh,2026861,62.1,1.69,3.96,58,20
amasya,752014,40.65,30.2,1.61,92,0
atikokan,5888001,48.76,27.25,4.63,80,80
djambala,2260401,-2.55,71.26,5.41,94,68
thiruvananthapuram,1254163,8.48,87.8,5.82,66,20
dikson,1507390,73.51,25.54,15.37,96,80
shubarkuduk,608271,49.15,35.71,8.55,96,92
kwekwe,888710,-18.93,59.65,7.76,93,56
esperance,3573739,10.24,77.0,4.7,83,20
cap malheureux,934649,-19.98,82.0,9.17,83,75
pivijay,3672093,10.46,77.0,11.41,83,40
nanortalik,3421765,60.14,23.38,41.76,100,0
upernavik,3418910,72.79,-12.09,3.29,100,24
buala,2109528,-8.15,84.94,3.96,87,48
yarada,1252783,17.65,84.2,4.7,66,20
thompson,6165406,55.74,24.8,2.24,85,40
alofi,4036284,-19.06,84.2,5.82,74,75
albany,5106834,42.65,33.01,3.36,63,75
kapaa,5848280,22.08,73.4,14.99,53,40
bima,1648759,-8.45,81.43,3.96,90,56
chokurdakh,2126123,70.62,-11.1,6.08,74,36
tinqueux,6436048,49.25,33.8,2.73,92,0
coquimbo,3893629,-29.95,57.2,2.24,93,20
mehamn,778707,71.03,22.75,5.75,80,24
rovaniemi,638936,66.5,24.8,10.29,92,90
madingou,2257990,-4.17,69.55,2.51,98,88
tuktoyaktuk,6170031,69.44,23.0,25.28,92,90
masuguru,878054,-11.38,74.86,5.08,92,100
saint-augustin,3031582,44.83,44.01,4.7,100,90
mahajanga,1062663,-15.72,78.8,2.24,88,20
ilulissat,3423146,69.22,-5.81,14.99,63,44
tiksi,2015306,71.64,-12.54,4.63,78,0
tanout,2439155,14.97,77.92,10.67,24,12
lagoa,2267254,37.14,57.2,3.36,47,0
la ronge,6050066,55.1,32.0,5.64,81,40
praia da vitoria,3372760,38.73,57.2,14.7,76,20
ciudad bolivar,3645532,8.12,83.95,15.7,52,0
cayenne,3382160,4.94,75.2,6.98,94,40
barrow,3833859,-38.31,51.64,6.42,77,12
severo-kurilsk,2121385,50.68,32.29,14.47,95,88
pacific grove,5380437,36.62,57.0,4.7,81,90
krasnomayskiy,1496421,55.0,17.6,2.24,78,0
bayir,304183,37.27,48.0,2.24,93,40
east london,1006984,-33.02,69.8,3.36,94,0
westport,2960970,53.8,48.99,1.01,88,80
pauini,3662927,-7.71,76.21,2.95,93,24
north bend,5742974,43.41,54.0,3.36,87,1
hilo,5855927,19.71,73.4,11.41,56,24
kruisfontein,986717,-34.0,67.57,4.07,95,80
buta,217570,2.79,74.41,1.61,76,24
puerto ayora,3652764,-0.74,77.0,6.53,90,12
pangnirtung,6096551,66.15,-19.47,12.68,81,20
manzil salim,2469252,35.86,41.0,9.17,86,40
arawa,2338403,7.05,76.75,3.62,93,0
airai,1651810,-8.93,81.16,2.17,63,44
torbay,6167817,47.66,24.01,10.29,79,90
ostrovnoy,556268,68.05,29.14,8.21,92,92
jamestown,2069194,-33.21,77.38,5.41,84,64
hambantota,1244926,6.12,84.2,14.99,79,20
sinnamary,3380290,5.38,78.19,8.99,98,80
wuwei,1803936,37.93,47.41,4.85,46,0
bambous virieux,1106677,-20.34,81.0,9.17,83,75
barra do garcas,3470709,-15.89,77.29,3.51,84,0
nadym,1498087,65.53,13.84,6.42,75,68
tuatapere,2180815,-46.13,66.99,5.01,76,24
amuntai,1651461,-2.42,82.69,2.84,81,76
kahului,5847411,20.89,75.0,11.41,53,40
oriximina,3393471,-1.77,78.91,2.51,88,8
jiaocheng,1806041,24.68,72.88,2.62,74,68
kizema,547871,61.11,33.37,19.73,94,92
jalu,86049,29.03,52.72,2.73,56,0
kiunga,2093846,-6.12,83.41,6.2,73,68
cherskiy,2126199,68.75,-9.57,8.21,68,32
magdalena,3915491,-13.26,77.83,6.64,85,12
mollendo,3934707,-17.03,59.74,2.84,90,0
magdagachi,2020591,53.45,22.93,5.97,41,44
lompoc,5367788,34.64,59.0,4.7,62,1
kedougou,2250645,12.56,86.0,9.17,28,0
dunedin,2191562,-45.87,64.0,8.99,73,0
tabas,113659,33.6,46.4,2.24,75,0
yulara,6355222,-25.24,100.4,13.87,16,0
iqaluit,5983720,63.75,-25.01,5.82,74,5
nyurba,2018735,63.29,7.27,3.74,53,0
marzuq,72181,14.4,48.04,2.39,83,0
katsuura,1865309,33.93,50.0,13.87,93,90
sampit,1628884,-2.54,85.39,8.21,95,8
marovoay,1059507,-16.11,78.8,2.24,88,20
yellowknife,6185377,62.45,39.99,8.05,69,20
kaitangata,2208248,-46.28,66.94,5.97,76,0
eyl,60019,7.98,76.93,12.24,100,92
sambava,1056899,-14.27,79.36,11.45,100,24
